tag,site,date_elisa,elisa_well,vac_type,vac_status,date_blood,date_int_vac,date_sec_vac,date_third_vac,date_forth_vac,duplicate_num,end_abs_read,max_slope,max_slope_3up,read_zero,read_one,read_two,read_three,read_four,read_five,read_six,read_seven,read_eight,read_nine,read_ten,read_eleven,read_twelve,read_thirteen,read_fourteen,read_fifteen,read_sixteen,read_seventeen,read_eighteen,read_nineteen,read_twenty
E5910,GX,1/23/2015, E08,Sham,0,4/22/2014,4/22/2014,5/13/2014,5/28/2014,,1,0.8254,,,0.1179,0.1831,0.2423,0.2962,0.3507,0.4021,0.4479,0.4927,0.5327,0.5724,0.6073,0.6406,0.6701,0.697,0.7218,0.7436,0.7635,0.7815,0.7976,0.8126,0.8254
E5910,GX,2/19/2015, B04,Sham,0,4/22/2014,4/22/2014,5/13/2014,5/28/2014,,2,0.2945,,,0.03015,0.05115,0.08145,0.09185,0.108,0.1238,0.14195,0.15685,0.17085,0.1911,0.2042,0.2091,0.2201,0.2306,0.2465,0.249,0.2573,0.2729,0.27325,0.2568,0.2945
E5910,GX,2/12/2015, A05,Sham,2,5/28/2014,4/22/2014,5/13/2014,5/28/2014,,1,2.600542857,,,0.609785714,1.827257143,2.551228571,2.969785714,3.200228571,3.309742857,3.243771429,3.161285714,3.129928571,3.057671429,2.974328571,2.916914286,2.853757143,2.805042857,2.769571429,2.722485714,2.7015,2.670985714,2.647457143,2.623328571,2.600542857
E5910,GX,2/12/2015, F10,Sham,2,5/28/2014,4/22/2014,5/13/2014,5/28/2014,,2,3.1162,,,0.3525,0.8499,1.3437,1.69705,2.01985,2.2904,2.51905,2.6919,2.83825,2.9679,3.01955,3.1119,3.1249,3.1392,3.1446,3.15835,3.1404,3.14545,3.1669,3.14235,3.1162
E5911,GX,1/23/2015, B08,Sham,0,4/22/2014,4/22/2014,5/13/2014,5/28/2014,,1,0.3263,,,0.0781,0.1021,0.1201,0.1384,0.1558,0.1722,0.1879,0.2035,0.2173,0.2307,0.2431,0.2547,0.2659,0.2763,0.2852,0.294,0.3016,0.309,0.3155,0.3215,0.3263
E5911,GX,2/12/2015, G09,Sham,0,4/22/2014,4/22/2014,5/13/2014,5/28/2014,,2,0.0985,,,0.0166,0.0126,0.0202,0.02485,0.03135,0.0374,0.04335,0.048,0.05385,0.059,0.06445,0.0684,0.0729,0.0772,0.0802,0.08475,0.0882,0.09105,0.0939,0.09625,0.0985
E5911,GX,2/19/2015, C07,Sham,2,5/28/2014,4/22/2014,5/13/2014,5/28/2014,,1,3.1536,,,0.53935,1.17415,1.65745,2.05805,2.3983,2.6941,2.92905,3.07055,3.16135,3.2498,3.2481,3.3067,3.2702,3.2767,3.2606,3.2988,3.1973,3.2647,3.19715,3.1393,3.1536
E5911,GX,1/28/2015, A10,Sham,2,5/28/2014,4/22/2014,5/13/2014,5/28/2014,,2,2.803442857,,,0.271085714,1.297157143,1.926428571,2.508085714,2.894428571,3.009442857,3.116871429,3.190585714,3.207228571,3.197171429,3.127328571,3.073814286,3.043057143,2.999242857,2.981271429,2.919485714,2.9104,2.855485714,2.823757143,2.815128571,2.803442857
E5939 ,GX,1/23/2015, C07,Sham,0,4/23/2014,4/23/2014,5/6/2014,5/28/2014,,1,0.2272,,,0.0533,0.0739,0.0837,0.0951,0.1072,0.1179,0.1283,0.1389,0.1484,0.1583,0.1666,0.175,0.1827,0.1902,0.1966,0.2033,0.2084,0.2141,0.2186,0.2235,0.2272
E5939,GX,2/12/2015, F01,Sham,0,4/23/2014,4/23/2014,5/6/2014,5/28/2014,,2,0.0477,,,0.0245,0.012,0.0148,0.01865,0.02365,0.0246,0.02945,0.031,0.03445,0.0391,0.03945,0.0419,0.0426,0.0453,0.0458,0.04635,0.0466,0.04635,0.0476,0.04755,0.0477
E5939 ,GX,1/23/2015, D03,Sham,2,5/28/2014,4/23/2014,5/6/2014,5/28/2014,,1,2.7031,,,0.3437,0.6865,0.9348,1.15315,1.36305,1.5437,1.71195,1.8597,1.99755,2.1148,2.22245,2.3126,2.3909,2.4641,2.511,2.55505,2.5893,2.62305,2.6525,2.68885,2.7031
E5939 ,GX,2/12/2015, D03,Sham,2,5/28/2014,4/23/2014,5/6/2014,5/28/2014,,2,2.8595,,,0.4356,0.7941,1.1208,1.3652,1.5843,1.7859,1.9599,2.1164,2.2493,2.3629,2.4626,2.5467,2.6078,2.6669,2.7101,2.7517,2.8038,2.8132,2.8465,2.8638,2.8595
E6056_E6137 ,GX,1/23/2015, C04,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/8/2014,,1,2.8846,,,0.6236,0.9101,1.1588,1.3944,1.6084,1.7936,1.9667,2.1218,2.2493,2.3655,2.4608,2.5384,2.6224,2.668,2.7278,2.7664,2.7946,2.7957,2.839,2.8485,2.8846
E6056_E6137,GX,2/19/2015, B12,Sham,0,6/10/2014,6/10/2014,6/24/2014,7/8/2014,,2,2.0439,,,0.12195,0.38025,0.56055,0.67925,0.8289,0.9731,1.11075,1.23365,1.34635,1.4568,1.5485,1.6239,1.6972,1.7623,1.8258,1.8666,1.9102,1.9556,1.98255,1.9838,2.0439
E6056_E6137 ,GX,1/23/2015, E09,Sham,2,7/8/2014,6/10/2014,6/24/2014,7/8/2014,,1,2.9612,,,0.2459,0.9437,1.4571,1.8209,2.1619,2.4421,2.677,2.8273,2.9239,3.0122,3.0444,3.049,3.0558,3.043,3.03,3.0222,2.9979,2.9746,2.9825,2.9767,2.9612
E6056_E6137,GX,2/12/2015, G08,Sham,2,7/8/2014,6/10/2014,6/24/2014,7/8/2014,,2,3.1364,,,0.4551,0.9805,1.554,1.95025,2.31585,2.613,2.84955,3.0194,3.11885,3.1919,3.19315,3.2567,3.2193,3.2122,3.1833,3.22015,3.1584,3.15255,3.1281,3.11455,3.1364
E5916 ,GX,1/23/2015, E05,Sham,0,5/13/2014,5/13/2014,,,,1,0.1265,,,0.0379,0.0255,0.0369,0.0454,0.0543,0.0619,0.0685,0.0755,0.0815,0.0877,0.0929,0.0987,0.1024,0.107,0.1105,0.1135,0.1169,0.1197,0.122,0.125,0.1265
E5916,GX,2/12/2015, C09,Sham,0,5/13/2014,5/13/2014,,,,2,0.0022,,,-0.0017,0.0035,0.0005,-0.00145,-0.00155,-0.0022,-0.00195,-0.0024,-0.00205,-0.0021,-0.00165,-0.0017,-0.0017,-0.0005,-0.0008,-0.00015,0.0004,0.00095,0.0012,0.00195,0.0022
E6095 ,GX,1/23/2015, A02,Sham,0,5/28/2014,5/28/2014,6/10/2014,6/25/2014,,1,0.0989,,,0.023,0.0488,0.0558,0.062,0.0681,0.072,0.0753,0.0799,0.0819,0.0855,0.0871,0.0888,0.0905,0.0919,0.0933,0.0943,0.0952,0.0965,0.0973,0.0982,0.0989
E6095,GX,2/12/2015, H04,Sham,0,5/28/2014,5/28/2014,6/10/2014,6/25/2014,,2,0.019,,,0.0206,0.0156,0.0152,0.01485,0.01485,0.0175,0.01885,0.0196,0.02075,0.0211,0.02175,0.0213,0.0218,0.0216,0.0212,0.02145,0.0209,0.02015,0.0197,0.01955,0.019
E6095,GX,1/28/2015, A04,Sham,2,6/26/2014,5/28/2014,6/10/2014,6/25/2014,,1,2.864742857,,,0.598785714,1.437157143,2.019028571,2.428285714,2.751028571,2.965242857,3.107571429,3.191185714,3.198828571,3.196071429,3.186528571,3.112814286,3.112957143,3.061342857,3.028071429,2.986785714,2.982,2.928085714,2.909357143,2.883528571,2.864742857
E6095,GX,2/12/2015, H09,Sham,2,6/26/2014,5/28/2014,6/10/2014,6/25/2014,,2,2.8173,,,0.4379,0.6379,0.9434,1.20685,1.44645,1.6571,1.84755,2.0155,2.15775,2.2854,2.38935,2.477,2.5495,2.6255,2.6665,2.71495,2.7513,2.76095,2.7927,2.81075,2.8173
E6091 ,GX,1/23/2015, E06,Sham,0,6/4/2014,6/4/2014,6/24/2014,7/8/2014,,1,0.148,,,0.0286,0.0297,0.0383,0.0465,0.056,0.0641,0.0721,0.0802,0.0876,0.0952,0.1017,0.1085,0.1142,0.1197,0.1249,0.1298,0.1338,0.1379,0.1414,0.1449,0.148
E6091,GX,2/19/2015, A10,Sham,0,6/4/2014,6/4/2014,6/24/2014,7/8/2014,,2,0.0208,,,-0.02605,-0.02085,-0.01225,-0.01745,-0.016,-0.0161,-0.01485,-0.01355,-0.01245,-0.0046,-0.0023,-0.0071,-0.0053,-0.0027,0.006,0.0017,0.0039,0.0137,0.00905,-0.0121,0.0208
E6091,GX,1/28/2015, D01,Sham,2,7/8/2014,6/4/2014,6/24/2014,7/8/2014,,1,3.191642857,,,0.881085714,1.512857143,1.933128571,2.305385714,2.614528571,2.853042857,3.049971429,3.175785714,3.217828571,3.323071429,3.396328571,3.314814286,3.363057143,3.334642857,3.315571429,3.277485714,3.2491,3.280685714,3.249057143,3.180528571,3.191642857
E6091,GX,2/12/2015, G05,Sham,2,7/8/2014,6/4/2014,6/24/2014,7/8/2014,,2,3.1159,,,0.5127,1.091,1.5529,1.93825,2.25785,2.5428,2.75595,2.8987,3.01485,3.1018,3.14985,3.1573,3.1755,3.1889,3.2025,3.14365,3.1655,3.12015,3.1692,3.14305,3.1159
E6164 ,GX,1/23/2015, C12,Sham,0,7/9/2014,7/9/2014,8/5/2014,8/18/2014,,1,0.4387,,,0.0048,0.0476,0.0841,0.1215,0.1579,0.1917,0.2103,0.238,0.2636,0.2866,0.3089,0.3285,0.3466,0.3634,0.3777,0.3912,0.4027,0.4133,0.4227,0.4312,0.4387
E6164,GX,2/19/2015, B07,Sham,0,7/9/2014,7/9/2014,8/5/2014,8/18/2014,,2,0.2396,,,0.03075,0.04815,0.07065,0.07805,0.0915,0.1045,0.11785,0.12965,0.14015,0.1576,0.1684,0.1715,0.1803,0.1888,0.2025,0.2032,0.2096,0.2231,0.22165,0.2037,0.2396
