tag,site,date_elisa,run_id,elisa_well,vac_type,vac_status,date_blood,date_int_vac,date_sec_vac,date_third_vac,date_forth_vac,duplicate_num,end_abs_read,max_slope,max_slope_3up,read_zero,read_one,read_two,read_three,read_four,read_five,read_six,read_seven,read_eight,read_nine,read_ten,read_eleven,read_twelve,read_thirteen,read_fourteen,read_fifteen,read_sixteen,read_seventeen,read_eighteen,read_nineteen,read_twenty,notes
E6019,GX,2/5/2016,4a,E4,TRUE,0,4/13/2015,4/13/2015,5/1/2015,5/19/2015,6/2/2015,1,0.39255,,,0.0402,0.05885,0.08665,0.11465,0.14035,0.16425,0.187,0.2079,0.22695,0.24545,0.26265,0.279,0.2948,0.3094,0.32315,0.33655,0.3489,0.3605,0.3715,0.38205,0.39255,
E6019,GX,2/17/2016,4b,E4,TRUE,0,4/13/2015,4/13/2015,5/1/2015,5/19/2015,6/2/2015,2,0.84525,,,0.03885,0.1057,0.16475,0.21765,0.26675,0.31465,0.3609,0.40555,0.4489,0.49045,0.5305,0.56865,0.60635,0.64135,0.675,0.7077,0.7375,0.76695,0.79445,0.8206,0.84525,
E6019,GX,2/4/2016,2a,B12,TRUE,3,6/2/2015,4/13/2015,5/1/2015,5/19/2015,6/2/2015,1,3.22795,,,0.1279,0.55185,0.9329,1.28815,1.6043,1.8841,2.1246,2.3291,2.50285,2.65945,2.77285,2.87685,2.9699,3.0543,3.10025,3.1559,3.1866,3.2015,3.2238,3.23535,3.22795,
E6019,GX,2/11/2016,2b,B12,TRUE,3,6/2/2015,4/13/2015,5/1/2015,5/19/2015,6/2/2015,2,3.06575,,,0.1195,0.7123,1.1439,1.5225,1.8504,2.1317,2.3618,2.5504,2.6941,2.8246,2.8894,2.9667,3.0178,3.0470,3.0742,3.0918,3.0299,3.0371,3.0978,3.0460,3.0658,
E6033,GX,2/5/2016,5a,D5,TRUE,0,4/30/2015,4/30/2015,5/13/2015,6/2/2015,,1,-0.0544,,,-0.00425,-0.00795,-0.01265,-0.01665,-0.0203,-0.024,-0.027,-0.0305,-0.0333,-0.0359,-0.0383,-0.0409,-0.04275,-0.0445,-0.04635,-0.0479,-0.04945,-0.051,-0.0525,-0.0534,-0.0544,
E6033,GX,2/19/2016,5b,D5,TRUE,0,4/30/2015,4/30/2015,5/13/2015,6/2/2015,,2,-0.0571,,,0.0069,-0.00375,-0.0077,-0.0117,-0.0156,-0.01925,-0.02305,-0.0267,-0.0299,-0.03315,-0.03625,-0.03885,-0.0415,-0.04385,-0.04635,-0.04825,-0.0502,-0.05195,-0.0536,-0.05575,-0.0571,
E6033,GX,2/5/2016,4a,B6,TRUE,2,6/2/2015,4/30/2015,5/13/2015,6/2/2015,,1,2.68545,,,0.2314,0.53045,0.77875,1.00805,1.21685,1.40245,1.5692,1.7198,1.85355,1.97295,2.08195,2.177,2.2664,2.3469,2.40765,2.47105,2.5219,2.5737,2.6106,2.65205,2.68545,
E6033,GX,2/17/2016,4b,B6,TRUE,2,6/2/2015,4/30/2015,5/13/2015,6/2/2015,,2,3.21235,,,0.28085,0.8352,1.30655,1.72005,2.07235,2.38035,2.6377,2.84375,2.9894,3.11005,3.1738,3.23655,3.26685,3.28625,3.2771,3.2892,3.2528,3.21315,3.20425,3.2208,3.21235,
E6035,GX,2/4/2016,2a,A7,TRUE,0,5/19/2015,5/19/2015,6/2/2015,6/17/2015,,1,0.07455,,,-0.0019,0.01465,0.0186,0.02275,0.0271,0.0307,0.0332,0.0366,0.03985,0.04345,0.04675,0.04955,0.0526,0.0565,0.05845,0.0614,0.0642,0.0665,0.0692,0.07205,0.07455,
E6035,GX,2/11/2016,2b,A7,TRUE,0,5/19/2015,5/19/2015,6/2/2015,6/17/2015,,2,-0.09165,,,-0.0042,-0.0098,-0.0171,-0.0224,-0.0280,-0.0344,-0.0398,-0.0448,-0.0492,-0.0537,-0.0579,-0.0614,-0.0655,-0.0693,-0.0721,-0.0761,-0.0797,-0.0831,-0.0858,-0.0890,-0.0917,
E6035,GX,2/9/2016,6a,F5,TRUE,2,7/10/2015,5/19/2015,6/2/2015,6/17/2015,,1,2.82915,,,0.3036,0.61315,0.88745,1.1436,1.37005,1.57605,1.7606,1.92375,2.0658,2.19235,2.30355,2.4008,2.4788,2.5461,2.6129,2.66415,2.709,2.761,2.778,2.8026,2.82915,
E6035,GX,2/19/2016,6b,F5,TRUE,2,7/10/2015,5/19/2015,6/2/2015,6/17/2015,,2,3.05965,,,0.4527,0.7894,1.08085,1.36885,1.63325,1.8635,2.0684,2.2458,2.398,2.5343,2.6488,2.74615,2.8113,2.88715,2.93895,2.98155,3.0086,3.03285,3.0276,3.0762,3.05965,
E6043,GX,3/11/2016,8a,A2,TRUE,0,6/2/2015,6/2/2015,6/17/2015,,,1,-0.1053,,,-0.0033,-0.00925,-0.01535,-0.0213,-0.02825,-0.03565,-0.0412,-0.04745,-0.053,-0.0582,-0.0634,-0.06825,-0.0727,-0.0775,-0.0812,-0.0859,-0.09005,-0.09395,-0.09815,-0.10165,-0.1053,
E6043,GX,3/15/2016,8b,A2,TRUE,0,6/2/2015,6/2/2015,6/17/2015,,,2,0.2404,,,-0.001,0.0178,0.0331,0.05045,0.06715,0.08335,0.0989,0.1142,0.12915,0.14245,0.15515,0.16765,0.17825,0.1889,0.19865,0.20735,0.2153,0.2226,0.22915,0.2355,0.2404,
E6044,GX,2/4/2016,3a,E4,TRUE,0,4/30/2015,4/30/2015,5/20/2015,6/2/2015,,1,-0.04005,,,-0.0081,-0.00145,-0.00625,-0.00995,-0.0135,-0.01635,-0.0186,-0.02125,-0.0232,-0.0257,-0.02755,-0.02905,-0.031,-0.03225,-0.03385,-0.0351,-0.03635,-0.03745,-0.03845,-0.03945,-0.04005,
E6044,GX,2/17/2016,3b ,E4,TRUE,0,4/30/2015,4/30/2015,5/20/2015,6/2/2015,,2,-0.3773,,,-0.06355,-0.07165,-0.1021,0.1058,-0.1511,-0.17125,-0.19245,-0.2118,-0.22915,-0.2463,-0.26255,-0.27765,-0.2919,-0.30595,-0.31845,-0.33035,-0.34105,-0.3513,-0.36045,-0.36925,-0.3773,
E6044,GX,2/9/2016,6a,G12,TRUE,2,6/2/2015,6/2/2015,6/17/2015,,,1,3.09505,,,0.6331,0.95905,1.26535,1.55,1.81445,2.03795,2.2259,2.39345,2.5297,2.64325,2.73455,2.8119,2.8837,2.9429,2.9639,3.00875,3.0526,3.0304,3.0793,3.0875,3.09505,
E6044,GX,2/19/2016,6b,G12,TRUE,2,6/2/2015,6/2/2015,6/17/2015,,,2,3.21175,,,0.2928,0.9616,1.50085,1.95185,2.34785,2.6653,2.9095,3.0667,3.1677,3.2678,3.3426,3.35065,3.3175,3.34325,3.29425,3.32185,3.3011,3.27575,3.2273,3.2334,3.21175,
E6063,GX,2/4/2016,2a,C5,TRUE,0,4/30/2015,4/30/2015,5/20/2015,6/2/2015,,1,0.71125,,,0.0473,0.13585,0.1759,0.21955,0.2613,0.3009,0.3371,0.3726,0.40655,0.43895,0.47015,0.49905,0.5268,0.5545,0.57905,0.6036,0.6274,0.6486,0.6704,0.69095,0.71125,
E6063,GX,2/11/2016,2b,C5,TRUE,0,4/30/2015,4/30/2015,5/20/2015,6/2/2015,,2,0.74225,,,0.0489,0.1260,0.1644,0.2102,0.2548,0.2973,0.3367,0.3764,0.4137,0.4493,0.4834,0.5165,0.5471,0.5766,0.6054,0.6307,0.6552,0.6780,0.7008,0.7225,0.7423,
E6063,GX,2/4/2016,2a,H3,TRUE,2,6/2/2015,4/30/2015,5/20/2015,6/2/2015,,1,3.21085,,,0.661,0.97695,1.3287,1.64475,1.9185,2.1665,2.3729,2.5528,2.71405,2.83315,2.94025,3.04405,3.0803,3.1277,3.20475,3.2093,3.2431,3.2267,3.2395,3.25225,3.21085,
E6063,GX,2/11/2016,2b,H3,TRUE,2,6/2/2015,4/30/2015,5/20/2015,6/2/2015,,2,3.09845,,,0.4279,0.8684,1.2946,1.6626,1.9825,2.2522,2.4756,2.6517,2.7920,2.8955,2.9728,3.0373,3.0587,3.1065,3.1341,3.1204,3.1536,3.1698,3.1214,3.1109,3.0985,
E6091,GX,2/5/2016,5a,E6,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/13/2015,,1,0.366,,,0.03125,0.06315,0.08625,0.11015,0.1332,0.1554,0.1762,0.1962,0.2146,0.2322,0.2488,0.2639,0.27855,0.2925,0.30535,0.3173,0.32855,0.3388,0.3486,0.3574,0.366,
E6091,GX,2/19/2016,5b,E6,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/13/2015,,2,0.2627,,,0.0236,0.03465,0.0535,0.0709,0.0877,0.10325,0.11785,0.1313,0.1443,0.15685,0.16885,0.18035,0.1912,0.20135,0.21115,0.22075,0.2299,0.23865,0.2475,0.25485,0.2627,
E6091,GX,2/5/2016,4a,C1,TRUE,2,5/13/2015,4/13/2015,4/30/2015,5/13/2015,,1,2.25435,,,0.1247,0.33455,0.54015,0.73345,0.91915,1.07265,1.2122,1.3393,1.45565,1.56045,1.65665,1.7449,1.8247,1.8951,1.96465,2.02445,2.0802,2.1307,2.1778,2.22065,2.25435,
E6091,GX,2/17/2016,4b,C1,TRUE,2,5/13/2015,4/13/2015,4/30/2015,5/13/2015,,2,3.16215,,,0.44505,0.7763,1.15475,1.50295,1.81195,2.09085,2.3416,2.55395,2.7327,2.86475,2.9829,3.06325,3.12335,3.16225,3.198,3.1804,3.2183,3.23415,3.20925,3.2388,3.16215,
E6113,GX,1/15/2016,1a,C10,TRUE,0,4/30/2015,4/30/2015,5/19/2015,6/2/2015,,1,0.94555,,,0.0664,0.1449,0.2134,0.2802,0.3444,0.4052,0.4634,0.5178,0.5691,0.6169,0.6615,0.7029,0.7409,0.7757,0.8079,0.8369,0.8636,0.8873,0.9086,0.9279,0.9456,
E6113,GX,2/11/2016,1b,C10,TRUE,0,4/30/2015,4/30/2015,5/19/2015,6/2/2015,,2,0.73245,,,0.024,0.0917,0.14,0.1866,0.23185,0.27525,0.31715,0.3567,0.39535,0.432,0.4671,0.4997,0.53095,0.5605,0.58885,0.61585,0.64205,0.66645,0.68965,0.9486,0.73245,
E6113,GX,2/4/2016,2a,C7,TRUE,2,6/2/2015,4/30/2015,5/19/2015,6/2/2015,,1,2.68445,,,0.1853,0.56085,0.7511,0.94685,1.1312,1.3014,1.4557,1.5995,1.73205,1.85455,1.96685,2.07145,2.1641,2.2536,2.32265,2.4002,2.4652,2.5202,2.5767,2.63025,2.68445,
E6113,GX,2/11/2016,2b,C7,TRUE,2,6/2/2015,4/30/2015,5/19/2015,6/2/2015,,2,2.29365,,,0.1375,0.4461,0.5846,0.7595,0.9266,1.0771,1.2181,1.3465,1.4649,1.5726,1.6716,1.7609,1.8460,1.9205,1.9908,2.0546,2.1094,2.1639,2.2056,2.2502,2.2937,
E6124,GX,2/5/2016,4a,H12,TRUE,0,4/13/2015,4/13/2015,5/1/2015,5/19/2015,,1,2.18515,,,0.4557,0.54055,0.71405,0.87565,1.02485,1.15905,1.282,1.3934,1.49445,1.58655,1.67075,1.7466,1.8154,1.8776,1.93615,1.98925,2.0374,2.0799,2.116,2.15295,2.18515,
E6124,GX,2/17/2016,4b,H12,TRUE,0,4/13/2015,4/13/2015,5/1/2015,5/19/2015,,2,3.21895,,,0.20365,0.611,0.93805,1.24365,1.53535,1.80585,2.0509,2.26375,2.4491,2.61265,2.7381,2.85095,2.95005,3.00875,3.0627,3.0954,3.1328,3.18115,3.18685,3.2199,3.21895,
E6124,GX,2/5/2016,4a,E1,TRUE,2,5/19/2015,4/13/2015,5/1/2015,5/19/2015,,1,3.26695,,,0.3033,0.75255,1.16225,1.53485,1.86275,2.14005,2.3776,2.5728,2.73675,2.87125,2.95575,3.024,3.0966,3.1639,3.21525,3.20795,3.2379,3.2435,3.2161,3.21065,3.26695,
E6124,GX,2/17/2016,4b,E1,TRUE,2,5/19/2015,4/13/2015,5/1/2015,5/19/2015,,2,3.03195,,,0.57695,1.1352,1.76645,2.29595,2.70355,2.99765,3.1579,3.28075,3.3379,3.36305,3.3153,3.29825,3.24855,3.21825,3.166,3.1555,3.1086,3.07705,3.04645,3.043,3.03195,
E6144,GX,2/9/2016,6a,F6,TRUE,0,5/19/2015,5/19/2015,6/3/2015,6/16/2015,,1,1.10835,,,0.1137,0.19095,0.26815,0.3444,0.41645,0.48415,0.5469,0.60575,0.6606,0.71225,0.76035,0.8059,0.8486,0.8881,0.9259,0.96145,0.9945,1.0255,1.0547,1.0827,1.10835,
E6144,GX,2/19/2016,6b,F6,TRUE,0,5/19/2015,5/19/2015,6/3/2015,6/16/2015,,2,1.47125,,,0.0864,0.2337,0.34315,0.44375,0.53985,0.6288,0.7125,0.7909,0.8653,0.9352,1.002,1.06405,1.1217,1.17635,1.22735,1.27535,1.3189,1.36105,1.4004,1.4372,1.47125,
E6144,GX,2/5/2016,5a,D8,TRUE,2,6/16/2015,5/19/2015,6/3/2015,6/16/2015,,1,3.1525,,,0.48085,1.28315,1.73435,2.15295,2.5,2.7649,2.9757,3.0778,3.1879,3.2141,3.2537,3.221,3.26885,3.2448,3.22845,3.194,3.16685,3.1342,3.1524,3.1012,3.1525,
E6144,GX,2/19/2016,5b,D8,TRUE,2,6/16/2015,5/19/2015,6/3/2015,6/16/2015,,2,3.0408,,,0.4848,1.07935,1.6979,2.2293,2.6285,2.89865,3.08065,3.2155,3.2929,3.30045,3.33645,3.28445,3.2606,3.22815,3.19995,3.17285,3.1801,3.12925,3.0726,3.07635,3.0408,
E6180,GX,2/9/2016,6a,F1,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/19/2015,,1,-0.03185,,,-0.0122,-0.00985,-0.01275,-0.0146,-0.01635,-0.01785,-0.0195,-0.02075,-0.0222,-0.02305,-0.02405,-0.0251,-0.0261,-0.027,-0.0281,-0.02885,-0.0301,-0.0309,-0.0315,-0.0327,-0.03185,
E6180,GX,2/19/2016,6b,F1,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/19/2015,,2,-0.08385,,,0.0125,-0.0027,-0.00715,-0.01375,-0.02035,-0.026,-0.0317,-0.0372,-0.0419,-0.0466,-0.0504,-0.05475,-0.059,-0.06295,-0.06675,-0.07015,-0.0737,-0.07675,-0.079,-0.0817,-0.08385,
E6180,GX,2/5/2016,4a,G4,TRUE,2,5/19/2015,4/13/2015,4/30/2015,5/19/2015,,1,2.60685,,,0.3533,0.54325,0.79325,1.01375,1.20895,1.38375,1.5391,1.6792,1.80385,1.91725,2.01765,2.1099,2.1929,2.267,2.33485,2.39005,2.4452,2.4902,2.5276,2.56555,2.60685,
E6180,GX,2/17/2016,4b,G4,TRUE,2,5/19/2015,4/13/2015,4/30/2015,5/19/2015,,2,3.29825,,,0.42445,0.6511,1.07275,1.42045,1.74955,2.04455,2.2992,2.51825,2.7075,2.84285,2.9963,3.08935,3.12585,3.22895,3.233,3.2829,3.2842,3.29755,3.27385,3.2479,3.29825,
E6208,GX,2/9/2016,6a,E5,TRUE,0,4/16/2015,4/16/2015,5/20/2015,6/2/2015,,1,-0.06045,,,-0.0063,-0.00785,-0.01345,-0.0172,-0.02085,-0.02495,-0.0282,-0.03085,-0.0342,-0.03695,-0.03975,-0.0428,-0.045,-0.0473,-0.0495,-0.05145,-0.0538,-0.0555,-0.0572,-0.0588,-0.06045,
E6208,GX,2/19/2016,6b,E5,TRUE,0,4/16/2015,4/16/2015,5/20/2015,6/2/2015,,2,-0.06765,,,0.002,-0.0028,-0.00795,-0.01325,-0.01795,-0.023,-0.0277,-0.0325,-0.0366,-0.0405,-0.0442,-0.04735,-0.0507,-0.05375,-0.05635,-0.05835,-0.061,-0.06285,-0.0643,-0.0661,-0.06765,
E6208,GX,2/9/2016,6a,D3,TRUE,2,6/2/2015,4/16/2015,5/20/2015,6/2/2015,,1,2.91175,,,0.1681,0.61365,0.91215,1.1829,1.42105,1.63645,1.8269,1.99375,2.1414,2.26805,2.37885,2.4694,2.5539,2.6376,2.6809,2.74715,2.783,2.8174,2.8685,2.8916,2.91175,Tube labeled E6028 (which does not exist)
E6208,GX,2/19/2016,6b,D3,TRUE,2,6/2/2015,4/16/2015,5/20/2015,6/2/2015,,2,3.15145,,,0.4086,0.9007,1.32565,1.66915,1.97125,2.2351,2.454,2.6349,2.7904,2.8991,2.9837,3.05345,3.0876,3.13445,3.20285,3.17465,3.1352,3.18335,3.1671,3.1744,3.15145,Tube labeled E6028 (which does not exist)
E6211,GX,2/4/2016,2a,C6,TRUE,0,5/20/2015,5/20/2015,6/2/2015,,,1,0.06065,,,0.0015,0.01865,0.021,0.02295,0.0261,0.0279,0.03,0.0321,0.03425,0.03675,0.03905,0.04085,0.0434,0.046,0.04755,0.0498,0.0524,0.0538,0.0562,0.05815,0.06065,
E6211,GX,2/11/2016,2b,C6,TRUE,0,5/20/2015,5/20/2015,6/2/2015,,,2,-0.09005,,,-0.0025,-0.0104,-0.0175,-0.0239,-0.0309,-0.0371,-0.0428,-0.0473,-0.0521,-0.0563,-0.0604,-0.0638,-0.0675,-0.0709,-0.0733,-0.0770,-0.0803,-0.0832,-0.0853,-0.0880,-0.0901,
E6214,GX,2/4/2016,3a,G7,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/19/2015,,1,0.07725,,,0.0027,0.00865,0.01345,0.01815,0.0219,0.02615,0.0305,0.03435,0.0383,0.0419,0.04565,0.04965,0.053,0.05665,0.05975,0.0625,0.06555,0.06845,0.07175,0.07415,0.07725,
E6214,GX,2/17/2016,3b ,G7,TRUE,0,4/13/2015,4/13/2015,4/30/2015,5/19/2015,,2,-0.2068,,,-0.04555,-0.04105,-0.0582,0.158,-0.0874,-0.09895,-0.11165,-0.1227,-0.13145,-0.1411,-0.14995,-0.15755,-0.165,-0.17235,-0.17855,-0.18455,-0.18985,-0.1947,-0.19935,-0.20345,-0.2068,
E6214,GX,2/9/2016,6a,F3,TRUE,2,5/19/2015,4/13/2015,4/30/2015,5/19/2015,,1,2.75495,,,0.1653,0.54515,0.81605,1.0638,1.28405,1.47925,1.6568,1.81535,1.9548,2.08015,2.18845,2.2859,2.3671,2.4433,2.5092,2.56835,2.6195,2.6596,2.6924,2.7277,2.75495,
E6214,GX,2/19/2016,6b,F3,TRUE,2,5/19/2015,4/13/2015,4/30/2015,5/19/2015,,2,2.91495,,,0.356,0.5849,0.88065,1.13945,1.37325,1.579,1.7635,1.9305,2.0806,2.2162,2.3344,2.42685,2.5226,2.59995,2.67015,2.72715,2.7782,2.82365,2.8617,2.8882,2.91495,
E6223,GX,2/4/2016,3a,C8,TRUE,0,4/30/2015,4/30/2015,,,,1,-0.01615,,,-0.0092,-0.00225,-0.00335,-0.00435,-0.0048,-0.00575,-0.0058,-0.00675,-0.0073,-0.0081,-0.00885,-0.00945,-0.01,-0.01085,-0.01155,-0.0124,-0.01325,-0.01395,-0.01495,-0.01575,-0.01615,
E6223,GX,2/17/2016,3b ,C8,TRUE,0,4/30/2015,4/30/2015,,,,2,-0.2882,,,-0.05815,-0.05945,-0.0822,0.1302,-0.1213,-0.13695,-0.15385,-0.1684,-0.18145,-0.1944,-0.20665,-0.21795,-0.2282,-0.23845,-0.24725,-0.25575,-0.26315,-0.2708,-0.27725,-0.28305,-0.2882,
E6231,GX,2/4/2016,2a,G8,TRUE,0,5/1/2015,5/1/2015,,,,1,0.10675,,,0.0182,0.01595,0.0252,0.03125,0.038,0.0437,0.0482,0.0541,0.05895,0.06415,0.06915,0.07295,0.0774,0.0823,0.08555,0.0897,0.0933,0.0964,0.1,0.10335,0.10675,
E6231,GX,2/11/2016,2b,G8,TRUE,0,5/1/2015,5/1/2015,,,,2,0.07495,,,0.0124,0.0118,0.0171,0.0228,0.0260,0.0294,0.0332,0.0368,0.0405,0.0441,0.0480,0.0520,0.0556,0.0585,0.0621,0.0644,0.0664,0.0685,0.0710,0.0730,0.0750,
