Year,Grid,Location,Treatment,Week,Date,Date,Day 1,Day 2,Spp,Tag #,Status,Ear,Fate,Sex,Age,Wt. ,testes,vaginal,nipples,Lac,Pg,RE,LE,HD,RE,LE,HD,Botfly,NOTES:
2014,Green Control,G,C,1189,April 24-25,2014/04/24,B5,D4,PL,H4583,N,1,2,1,1,25,2,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,F3,,SC,H4281/H4282,P,"1,2",1,2,,680,,,2,,,,,,,,,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,,E6,Sorex,,D,,4,,,,,,,,,,,,,,,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,C5,,TS,H4610,P,1,1,2,,81,,,2,1,,0,0,0,0,0,1,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,C7,,PL,H4607,N,1,2,1,1,25,2,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,H10,H11,PL,H4606,N,1,2,2,1,24,,1,2,1,,0,0,0,0,0,0,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,D4,F1,PL,H4618,P,1,1,2,1,23,,1,1,1,,0,0,0,1,0,0,,
2014,Green Control,G,C,1189,April 24-25,2014/04/24,E6,,PL,H4524,RT,2,1,2,1,22,,1,1,1,,0,0,0,0,0,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1192,May 15-16,2014/05/15,H3,B2,PL,H4584,P,2,1,1,1,24,2,,,,,0,0,0,1,1,1,,right ear ripped
2014,Green Control,G,C,1192,May 15-16,2014/05/15,H10,K10,PL,H4606/H4544,P/RT,"1,2",1,2,1,22,,2,2,,,0,0,0,2,0,0,,"right ear about to rip, retagged L"
2014,Green Control,G,C,1192,May 15-16,2014/05/15,C11,E10,TS,H4449,P,1,1,2,,78,,,2,1,,0,0,0,0,0,1,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,C10,C10,TS,H4612,P,1,1,2,,86,,,2,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,,G1,TS,H4605,P,1,1,1,,82,2,,,,,0,0,0,0,0,4,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,A4,B5,PL,H4699,N,1,2,2,1,34,,1,2,1,1,0,0,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,A8,,PL,H4700,N,1,2,2,1,26,,2,2,1,,0,1,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,C2,C3,PL,H4618,P,1,1,2,1,23,,2,2,1,,0,0,1,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,H11,,TS,,P,1,1,,,,,,,,,,,,,,,,"escaped, can't figure out tag # from H45??"
2014,Green Control,G,C,1192,May 15-16,2014/05/15,A8,,TS,H2154,P,1,1,1,,,2,,,,,,,,,,,,"escape?, incorrectly written in raw data as H5154"
2014,Green Control,G,C,1192,May 15-16,2014/05/15,B10,,PL,H4545,N,1,2,1,3,10,1,,,,,3,4,2,0,0,1,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,I2,,TS,H4609,N,1,2,1,,87,2,,,,,0,1,0,1,1,1,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,I8,G10,TS,H4066,P,1,1,1,,,2,,,,,,,,,,,,escape
2014,Green Control,G,C,1192,May 15-16,2014/05/15,D8,,PL,H4602,N,1,2,2,2,19,,1,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,D3,E3,TS,H4610,P,1,1,2,,94,,1,2,,,0,0,0,0,0,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1192,May 15-16,2014/05/15,,F11,PL,H4595,N,1,2,1,3,16,2,,,,,3,0,2,0,0,3,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,F10,,PL,H4588,N,1,2,1,3,10,1,,,,,0,2,1,1,0,1,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,F2,E4,PL,H4589,N,1,2,1,3,10,1,,,,,0,3,1,0,0,1,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,B6,B6,PL,H4607,P,1,1,1,1,23,2,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,C7,J4,PL,H4590,N,1,2,2,3,12,,1,1,,,1,3,0,0,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,C5,,TS,H4591,N,1,2,1,,66,2,,,,,0,0,0,1,0,2,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,,I1,PL,H4593,N,1,2,1,2,17,2,,,,,1,5,1,2,2,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,,E8,TS,H4232,P,1,1,2,,95,,,2,1,,0,0,0,2,1,4,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,G5,,PL,H4585,P,1,1,2,3,9,,1,1,,,1,2,1,1,0,0,,
2014,Green Control,G,C,1192,May 15-16,2014/05/15,G11,,TS,H4542,P,1,1,1,,98,2,,,,,0,0,0,3,1,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,I2,I4,TS,H4605,P,1,1,1,,87,2,,,,,0,0,0,1,0,4,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,I2,J2,PL,H4698,N,1,2,1,3,15,1,,,,,2,0,0,0,0,2,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,I7,J6,PL,H4697,N,1,2,2,2,16,,2,1,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,E7,K10,PL,H4696,N,1,2,1,3,13,1,,,,,1,1,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,E7,G6,TS,H4232,P,1,1,2,,87,,,2,,,0,1,1,2,0,5,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,E6,,TS,H4695,RT,2,1,1,,89,2,,,,,0,0,0,0,1,0,,right ear ripped
2014,Green Control,G,C,1194,May 29-30,2014/05/29,A7,A6,TS,H2154,P,1,1,1,,92,2,,,,,0,0,0,1,0,6,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,B8,A8,PL,H4694,RT,2,1,2,1,27,,2,2,1,,,0,0,,1,2,,right ear gone
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,H2,TS,H2390,P,2,1,2,,90,,,2,1,,0,0,0,1,0,8,,right ear ripped
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,H4,PL,H4561,RT,2,1,1,1,23,2,,,,,1,2,1,0,1,0,,"right ear ripped, left ear ripped"
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,D9,TS,H4562,N,1,2,1,,48,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,D9,TS,H4563,N,1,2,1,,46,1,,,,,0,0,0,0,1,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,,A7,PL,H4564,N,1,2,1,2,15,1,,,,,0,0,0,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,J2,K2,PL,H4675,N,1,2,2,3,15,,1,1,,,2,1,1,0,0,0,,
2014,Green Control,G,C,1194,May 29-30,2014/05/29,J7,K7,PL,H4588,P,1,1,1,3,15,2,,,,,0,1,2,0,0,3,,
