Date,Trapping Type,Location,Tag #,Sex,PIT #,Vaccine,Blood,Ear Punch,Notes,VaccType,VaccDose
2014/4/22,Trapping,GX,E5874,1,985121013766132,V,X,X,,V,1
2014/4/22,Trapping,GX,E5911,1,985121006876278,S,X,X,,S,1
2014/4/22,Trapping,GX,E5869,1,985121015061330,S,X,X,,S,1
2014/4/22,Trapping,GX,E5943,2,985121009756621,V,X,X,,V,1
2014/4/22,Trapping,GX,E5910,2,985121014688085,S,X,X,,S,1
2014/4/22,Trapping,GX,E5875,2,985121014974994,V,X,X,,V,1
2014/4/22,Trapping,GX,E5983,2,985121009018846,S,X,X,,S,1
2014/4/23,Trapping,GX,E5944,2,985121014732348,V,,,10g,V,1
2014/4/23,Trapping,GX,E6001,2,985121006842531,S,X,X,,S,1
2014/4/23,Trapping,GX,E5912,2,985121014973813,V,X,X,,V,1
2014/4/23,Trapping,GX,E5964,1,985121015129902,S,X,X,,S,1
2014/4/23,Trapping,GX,E6002,2,985121015204803,S,X,X,,S,1
2014/4/23,Trapping,GX,E5913,1,985121015008216,V,,,9g,V,1
2014/4/23,Trapping,GX,E6003,1,985121014982364,S,,,"10g, liquid squirted out gave 2nd dose",S,1
2014/4/23,Trapping,GX,E5873,2,985121014242786,V,X,X,,V,1
2014/4/23,Trapping,GX,E5939,1,985121014275262,S,X,X,,S,1
2014/5/6,Nestboxes,GX,E6002,2,985121015204803,S BOOST,,,,S,1
2014/5/6,Nestboxes,GX,E5939,1,985121014275262,S BOOST,,,,S,1
2014/5/6,Nestboxes,GX,E5873,2,985121014242786,V BOOST,,,,V,1
2014/5/13,Trapping,GX,E6004,1,985121013735117,V,X,X,,V,1
2014/5/13,Trapping,GX,E5874,1,985121013766132,V BOOST,,,,V,1
2014/5/13,Trapping,GX,E5910,2,985121014688085,S BOOST,,,,S,1
2014/5/13,Trapping,GX,H5657,2,985121015354718,V,X,X,,V,1
2014/5/13,Trapping,GX,E5911,1,985121006876278,S BOOST,,,,S,1
2014/5/13,Trapping,GX,E5997,2,985121014973813,V BOOST,,,RT was E5912,V,1
2014/5/13,Trapping,GX,E5994,2,985121009756621,V BOOST,,,RT was E5943,V,1
2014/5/13,Trapping,GX,E5995,2,985121015057068,S,X,X,,S,1
2014/5/13,Trapping,GX,E5869,1,985121015061330,S BOOST,,,,S,1
