Date,Trapping Type,Tag #,Location,Sex,PIT #,Vaccine,Blood,Ear Punch,Notes,VaccType,VaccDose
2014/4/18,Nestboxes,E5264,HX,2,985121014984171,V,X,X,,V,1
2014/4/18,Nestboxes,E5253,HX,1,985121011035556,S,,X,"lots of stabbing, no blood",S,1
2014/4/18,Nestboxes,E5304,HX,2,985121015204692,V,X,X,,V,1
2014/4/18,Nestboxes,E5254,HX,2,985121009537605,S,X,X,,S,1
2014/4/18,Nestboxes,E5276,HX,1,985121015068218,V,X,X,,V,1
2014/5/1,Trapping,E5305,HX,1,985121015042648/985121015068218,V BOOST,X,,"now has 2 pit tags, RT old tag E5276",V,1
2014/5/1,Trapping,E5304,HX,2,985121015204692,V BOOST,,,,V,1
2014/5/1,Trapping,E5253,HX,1,985121011035556,S BOOST,X,,blood taken 5/2/14,S,1
2014/5/1,Trapping,E5356,HX,1,985121015053390,S,X,X,,S,1
2014/5/1,Trapping,E5306,HX,1,985121013790175,S,X,X,,S,1
2014/5/1,Trapping,E5307,HX,2,985121015411513,S,X,X,,S,1
2014/5/1,Trapping,E5337,HX,1,985121015207398,V,,,no blood or tissue,V,1
2014/5/2,Trapping,E5254,HX,2,985121009537605,S BOOST,,,,S,1
2014/5/20,Trapping,E5346,HX,1,985121015042648/985121015068218,V BOOST 2,,,RT old tag E5305,V,1
2014/5/20,Trapping,E5283,HX,1,985121014938840,V,,X,"clotted quickly, no blood",V,1
2014/5/20,Trapping,E5308,HX,1,985121015050422,S,X,X,,S,1
2014/5/20,Trapping,E5337,HX,1,985121015207398,V BOOST,,,,V,1
2014/5/20,Trapping,E5304,HX,2,985121015204692,V BOOST 2,,,,V,1
2014/5/20,Trapping,E5285,HX,1,985121012677424,V,X,X,,V,1
2014/5/21,Trapping,E5361,HX,2,985121014959387,V,X,X,,V,1
2014/5/21,Trapping,E5286,HX,1,985121015025565,V,X,X,,V,1
2014/5/21,Trapping,E5306,HX,1,985121013790175,S BOOST,,,,S,1
2014/5/21,Trapping,E5362,HX,1,985121014234404,S,X,X,,S,1
2014/5/28,Nestboxes,E5278,HX,2,985121014843893,S,X,X,"not enough blood, cold/shock?",S,1
2014/5/28,Nestboxes,E5280/E5364,HX,2,985121014296685,V,X,X,,V,1
2014/5/28,Nestboxes,E5289,HX,2,985121005718289,S,X,X,,S,1
2014/5/28,Nestboxes,E5365,HX,1,985121005903747,V,X,X,,V,1
2014/5/28,Nestboxes,E5366,HX,2,985121015347004,S,X,X,,S,1
2014/5/28,Nestboxes,E5290,HX,1,985121013790175,,,,RT old tag E5306,,
2014/6/3,Trapping,E7348,HX,1,985121014970338,S,X,X,Died,S,1
2014/6/3,Trapping,E5277,HX,2,985121014322149,S,X,X,Died,S,1
2014/6/3,Trapping,E5286,HX,1,985121015025565,V BOOST,X,X,took blood and tissue after 1st booster,V,1
2014/6/3,Trapping,E5292,HX,1,985121015020729,S,,X,no blood,S,1
2014/6/3,Trapping,E5361,HX,2,985121014959387,V BOOST,,,,V,1
2014/6/3,Trapping,E5283,HX,1,985121014938840,V BOOST,,X,took tissue after 1st booster,V,1
2014/6/3,Trapping,E5367,HX,2,985121013863737,S,X,X,,S,1
2014/6/3,Trapping,E5285,HX,1,985121012677424,V BOOST,,,,V,1
2014/6/3,Trapping,E5362,HX,1,985121014234404,S BOOST,,,,S,1
2014/6/3,Trapping,E5398,HX,1,985121015069854,S,X,X,,S,1
2014/6/3,Trapping,E5399,HX,2,985121015366659,V,X,X,,V,1
2014/6/3,Trapping,E7352,HX,1,985121014555820,V,X,X,,V,1
2014/6/3,Trapping,E7353,HX,2,985121015331224,V,X,X,blood taken day 2,V,1
2014/6/4,Trapping,E5308,HX,1,985121015050422,S BOOST,,,,S,1
2014/6/4,Trapping,E5304,HX,2,985121015204692,,X,X,"V BOOST 2 given 5/20/14, blood and tissue #2 taken 6/4/14",,
2014/6/4,Trapping,E5368,HX,2,985121009537605,S BOOST 2,X,X,USED TO BE E5254,S,1
2014/6/4,Trapping,E7355,HX,1,985121009662337,S,X,X,,S,1
2014/6/4,Trapping,E5294,HX,1,985121015374062,V,X,X,,V,1
2014/6/4,Trapping,E5366,HX,2,985121015347004,S BOOST,,,,S,1
2014/6/4,Trapping,E5281,HX,2,985121014340733,S,X,X,,S,1
2014/6/4,Trapping,E7358,HX,1,985121014227141,S,X,X,,S,1
2014/6/4,Trapping,E7359,HX,2,985121013848211,S,X,X,,S,1
2014/6/4,Trapping,E5295,HX,2,985121013349029,S,X,X,,S,1
2014/6/11,Nestboxes,E5289,HX,2,985121005718289,S BOOST,,,,S,1
2014/6/11,Nestboxes,E5290,HX,1,985121013790175,S BOOST 2,X,X,old tag E5306,S,1
2014/6/11,Nestboxes,E7380,HX,2,985121013827517,V,X,X,,V,1
2014/6/11,Nestboxes,E7383,HX,2,985121014942793,V,X,X,,V,1
2014/6/11,Nestboxes,E7382,HX,2,985121013730393,S,X,X,,S,1
2014/6/11,Nestboxes,E7384,HX,1,985121011446408,V,X,X,,V,1
2014/6/17,Trapping,E5372,HX,1,985121014227141,S BOOST,,,old tag was E7358,S,1
2014/6/17,Trapping,E5286,HX,1,985121015025565,V BOOST 2,X,X,,V,1
2014/6/17,Trapping,E5298,HX,2,985121013827517,V BOOST,,,old tag was E7380,V,1
2014/6/17,Trapping,E5296,HX,1,985121015078889,V,X,X,"retag left ear, no PIT before, gave vaccine",V,1
2014/6/17,Trapping,E5308/E5395,HX,1,985121015050422,S BOOST 2,X,X,USED TO BE E5308  (retag left since right tag close to ripping out),S,1
2014/6/17,Trapping,E7385,HX,2,985121013719903,V,X,X,"PIT ripped out side while at rearing facility, pushed back in and glued",V,1
2014/6/17,Trapping,E5292,HX,1,985121015020729,S BOOST,,,,S,1
2014/6/17,Trapping,E7378,HX,1,985121014263228,S,X,X,,S,1
2014/6/17,Trapping,E7376,HX,1,985121014938840,V BOOST 2,X,X,used to be E5283,V,1
2014/6/17,Trapping,E7355,HX,1,985121009662337,S BOOST,,,,S,1
2014/6/17,Trapping,E7377,HX,1,985121012677424,V BOOST 2,X,X,old tag was E5285,V,1
