Date,Trapping Type,Location,Tag #,Sex,PIT #,Vaccine,Blood,Ear Punch,Notes,VaccType,VaccDose
2014/4/15,Trapping,TX,E4678,2,985121015368883,V,X,X,,V,1
2014/4/15,Trapping,TX,E4631,1,985121004993556,S,X,X,,S,1
2014/4/15,Trapping,TX,E4000,1,985121015204698,V,X,X,,V,1
2014/4/15,Trapping,TX,E4675,2,985121015130584,S,X,X,,S,1
2014/4/16,Trapping,TX,E4634,1,985121015293285,V,X,X,,V,1
2014/4/16,Trapping,TX,E4317,2,985121014576532,S,X,X,,S,1
2014/4/16,Trapping,TX,E4655,1,985121015061734,S,X,X,,S,1
2014/4/16,Trapping,TX,E4629,2,985121014777670,,,,"escaped @ C9 not C11, PIT given but not vaccine",,
2014/4/29,Nestboxes,TX,E4317,2,985121014576532,S BOOST,,,,S,1
2014/4/29,Nestboxes,TX,E4655,1,985121015061734,S BOOST,,,,S,1
2014/4/29,Nestboxes,TX,E4323,1,985121009455956,V,X,X,,V,1
2014/5/6,Trapping,TX,E4632,2,985121014703086,V,,X,no blood,V,1
2014/5/6,Trapping,TX,E4633,2,985121014819074,S,X,X,,S,1
2014/5/7,Trapping,TX,E4632,2,985121014703086,V BOOST,,,unsure why this animal was given boost 1 day after receiving first dose,V,1
2014/5/14,Nestboxes,TX,E4655,1,985121015061734,S BOOST 2,,,,S,1
2014/5/14,Nestboxes,TX,E4317,2,985121014576532,S BOOST 2,,,,S,1
2014/5/22,Trapping,TX,E4317,2,985121014576532,S BOOST 3,X,X,"small amount of blood, accidentally given 4 sham doses",S,1
2014/5/22,Trapping,TX,E6776,2,985121015368883,V BOOST,,,old tag was E4678,V,1
2014/5/22,Trapping,TX,E6777,1,985121004993556,S BOOST,,,old tag was E4631,S,1
2014/5/22,Trapping,TX,E4640,1,985121013764434,S,X,X,,S,1
2014/5/22,Trapping,TX,E4632,2,985121014703086,V BOOST 2,,,no blood,V,1
2014/5/22,Trapping,TX,E4323,1,985121009455956,V BOOST,,,,V,1
2014/5/22,Trapping,TX,E4655,1,985121015061734,S BOOST 3,X,X,,S,1
2014/5/22,Trapping,TX,E4425,2,985121014943249,V,X,X,,V,1
2014/5/22,Trapping,TX,E4642,1,985121015094451,V,X,X,,V,1
2014/5/22,Trapping,TX,E4424,2,985121015128295,S,X,X,,S,1
2014/5/23,Trapping,TX,E4644,1,985121015085029,S,X,X,,S,1
2014/5/23,Trapping,TX,E6781,1,985121015103600,V,X,X,,V,1
2014/5/30,Nestboxes,TX,E4633,2,985121014819074,S BOOST,,,,S,1
2014/5/30,Nestboxes,TX,E4686,2,985121014973911,S,X,X,,S,1
