"","Treatment","Location","Grid","Period","Tag","Sex","LSUM","NSUM","transLSUM"
"3","X","G","GX",2,"E6019",1,7,0,2.07944154167984
"5","X","G","GX",2,"E6033",2,3,0,1.38629436111989
"9","X","G","GX",2,"E6091",2,0,0,0
"12","X","G","GX",2,"E6113",2,4,0,1.6094379124341
"14","X","G","GX",2,"E6144",1,3,0,1.38629436111989
"17","X","G","GX",2,"E6214",2,2,0,1.09861228866811
"20","X","G","GX",2,"E6251",2,2,0,1.09861228866811
"22","X","G","GX",2,"E6261",1,10,0,2.39789527279837
"24","X","G","GX",2,"E6269",2,5,0,1.79175946922805
"26","X","G","GX",2,"E6299",1,7,0,2.07944154167984
"31","X","G","GX",2,"E6304",1,4,0,1.6094379124341
"34","X","G","GX",2,"E6306",1,4,0,1.6094379124341
"35","X","G","GX",2,"E6311",1,8,0,2.19722457733622
"37","X","G","GX",2,"E6401",1,4,0,1.6094379124341
"39","X","G","GX",2,"E6402",2,11,0,2.484906649788
"43","X","G","GX",2,"E6405",2,2,0,1.09861228866811
"46","X","G","GX",2,"E6409",2,1,0,0.693147180559945
"48","X","G","GX",2,"E6412",1,13,0,2.63905732961526
"49","X","G","GX",2,"E6413",2,1,0,0.693147180559945
"51","X","G","GX",2,"E6426",2,9,0,2.30258509299405
"53","X","G","GX",2,"E6428",1,3,1,1.38629436111989
"55","C","G","GC",2,"E6432",1,7,0,2.07944154167984
"57","X","G","GX",2,"E6433",1,10,0,2.39789527279837
"59","X","G","GX",2,"E6453",1,4,0,1.6094379124341
"64","X","G","GX",2,"E6456",1,6,0,1.94591014905531
"66","X","G","GX",2,"E6459",2,1,0,0.693147180559945
"68","X","G","GX",2,"E6460",1,2,0,1.09861228866811
"70","X","G","GX",2,"E6462",2,1,0,0.693147180559945
"71","X","G","GX",2,"E6463",1,5,0,1.79175946922805
"73","X","G","GX",2,"E6467",1,2,0,1.09861228866811
"75","X","G","GX",2,"E6471",1,7,0,2.07944154167984
"77","X","G","GX",2,"E6472",2,2,0,1.09861228866811
"79","X","G","GX",2,"E6480",2,2,0,1.09861228866811
"81","X","G","GX",2,"E6483",2,1,0,0.693147180559945
"85","X","G","GX",2,"E6503",2,2,0,1.09861228866811
"87","X","G","GX",2,"E6504",2,0,0,0
"90","X","G","GX",2,"E6511",1,13,0,2.63905732961526
"93","X","G","GX",2,"E6527",2,6,0,1.94591014905531
"95","X","G","GX",2,"E6528",1,7,0,2.07944154167984
"96","X","G","GX",2,"E6536",1,10,0,2.39789527279837
"97","X","G","GX",2,"E6540",1,1,1,0.693147180559945
"99","X","G","GX",2,"E6553",2,0,0,0
"101","X","G","GX",2,"E6556",2,0,1,0
"103","X","G","GX",2,"E6563",1,1,0,0.693147180559945
"105","X","G","GX",2,"E6567",1,11,0,2.484906649788
"107","X","G","GX",2,"E6569",2,4,0,1.6094379124341
"109","X","G","GX",2,"E6572",1,6,0,1.94591014905531
"110","X","G","GX",2,"E6573",1,4,0,1.6094379124341
"112","X","G","GX",2,"E6576",2,9,1,2.30258509299405
"114","X","G","GX",2,"E6579",1,30,1,3.43398720448515
"117","X","G","GX",2,"E6597",1,4,0,1.6094379124341
"119","X","G","GX",2,"E6598",1,11,0,2.484906649788
"121","X","T","TX",2,"E6722",2,6,0,1.94591014905531
"123","X","T","TX",2,"E6725",2,8,0,2.19722457733622
"125","X","T","TX",2,"E6797",1,6,0,1.94591014905531
"127","X","T","TX",2,"E6801",2,15,0,2.77258872223978
"129","X","T","TX",2,"E6807",2,3,0,1.38629436111989
"131","X","T","TX",2,"E6825",2,1,0,0.693147180559945
"134","X","T","TX",2,"E6844",2,4,0,1.6094379124341
"136","X","T","TX",2,"E6849",2,6,0,1.94591014905531
"140","X","T","TX",2,"E6859",1,6,0,1.94591014905531
"142","X","T","TX",2,"E6874",2,5,0,1.79175946922805
"144","X","T","TX",2,"E6893",1,8,0,2.19722457733622
"146","X","T","TX",2,"E6909",2,2,0,1.09861228866811
"149","X","T","TX",2,"E6932",1,9,0,2.30258509299405
"151","X","T","TX",2,"E6941",2,1,0,0.693147180559945
"153","X","T","TX",2,"E6943",2,6,1,1.94591014905531
"155","X","T","TX",2,"E6951",2,5,0,1.79175946922805
"157","X","T","TX",2,"E6952",1,20,0,3.04452243772342
"159","X","T","TX",2,"E6954",1,13,0,2.63905732961526
"161","X","T","TX",2,"E6960",1,9,0,2.30258509299405
"163","X","T","TX",2,"E6962",1,2,0,1.09861228866811
"166","X","T","TX",2,"E6984",2,15,0,2.77258872223978
"168","X","T","TX",2,"E6986",2,12,0,2.56494935746154
"170","X","T","TX",2,"E6992",1,39,0,3.68887945411394
"173","X","T","TX",2,"E6995",1,8,0,2.19722457733622
"176","X","T","TX",2,"E7000/E7044",2,3,0,1.38629436111989
"178","X","T","TX",2,"E7002",1,15,1,2.77258872223978
"180","X","T","TX",2,"E7004",2,4,0,1.6094379124341
"182","X","T","TX",2,"E7014",1,3,0,1.38629436111989
"185","X","T","TX",2,"E7042",1,21,0,3.09104245335832
"191","X","T","TX",2,"E7054",2,3,0,1.38629436111989
"193","X","T","TX",2,"E7058",2,0,0,0
"195","X","T","TX",2,"E7063",1,3,0,1.38629436111989
"197","X","T","TX",2,"E7069",1,8,0,2.19722457733622
"199","X","T","TX",2,"E7071",2,3,0,1.38629436111989
"203","X","T","TX",2,"E7082",2,22,0,3.13549421592915
"207","X","T","TX",2,"E7117",2,3,0,1.38629436111989
"209","X","T","TX",2,"E7118",1,3,0,1.38629436111989
"211","X","T","TX",2,"E7119",2,16,0,2.83321334405622
"212","X","T","TX",2,"E7120",1,9,0,2.30258509299405
"214","X","T","TX",2,"E7122",2,12,0,2.56494935746154
"216","X","T","TX",2,"E7124",2,5,0,1.79175946922805
"217","X","T","TX",2,"E7125",1,23,0,3.17805383034795
"220","X","T","TX",2,"E7130",2,4,0,1.6094379124341
"222","X","T","TX",2,"E7132",2,20,0,3.04452243772342
"223","C","T","TC",2,"E7133",1,11,0,2.484906649788
"225","X","T","TX",2,"E7145",1,8,0,2.19722457733622
"227","X","T","TX",2,"E7154",1,9,0,2.30258509299405
"229","X","T","TX",2,"E7160",1,7,0,2.07944154167984
"232","X","T","TX",2,"E7162",2,12,0,2.56494935746154
"234","X","T","TX",2,"E7163",1,16,0,2.83321334405622
"238","X","T","TX",2,"E7194",1,15,0,2.77258872223978
"240","X","T","TX",2,"E7197",2,26,0,3.29583686600433
"242","X","T","TX",2,"E7198",1,19,0,2.99573227355399
"246","X","T","TX",2,"E7203",1,20,0,3.04452243772342
"248","X","T","TX",2,"E7262",1,9,0,2.30258509299405
"249","X","T","TX",2,"E7263",2,7,0,2.07944154167984
"250","X","T","TX",2,"E7294",1,16,0,2.83321334405622
"251","X","T","TX",2,"E7296",1,3,0,1.38629436111989
"252","X","T","TX",2,"E7297",1,14,0,2.70805020110221
"253","X","T","TX",2,"E7298",1,8,0,2.19722457733622
"255","X","T","TX",2,"E7299",1,7,0,2.07944154167984
"258","X","H","HX",2,"E7329",1,5,0,1.79175946922805
"261","X","H","HX",2,"E7418",2,1,0,0.693147180559945
"263","X","H","HX",2,"E7419",1,2,0,1.09861228866811
"264","X","H","HX",2,"E7420",1,5,0,1.79175946922805
"266","X","H","HX",2,"E7447",1,8,0,2.19722457733622
"269","X","H","HX",2,"E7464",1,14,0,2.70805020110221
"272","X","H","HX",2,"E7486",2,8,0,2.19722457733622
"276","X","H","HX",2,"E7491",1,8,0,2.19722457733622
"279","X","H","HX",2,"E7492",1,6,0,1.94591014905531
"282","X","H","HX",2,"E7495",2,3,0,1.38629436111989
"284","X","H","HX",2,"E7501",1,0,0,0
"286","X","H","HX",2,"E7502",2,0,0,0
"288","X","H","HX",2,"E7509",1,13,0,2.63905732961526
"291","C","H","HC",2,"E7526",1,2,1,1.09861228866811
"293","X","H","HX",2,"E7531",2,2,0,1.09861228866811
"297","X","H","HX",2,"E7538",2,7,0,2.07944154167984
"299","X","H","HX",2,"E7545",1,7,0,2.07944154167984
"301","X","H","HX",2,"E7556",2,3,0,1.38629436111989
"306","X","H","HX",2,"E7562",2,1,0,0.693147180559945
"307","X","H","HX",2,"E7563",2,2,0,1.09861228866811
"308","X","H","HX",2,"E7564",2,3,0,1.38629436111989
"309","X","H","HX",2,"E7566",1,2,0,1.09861228866811
"311","X","H","HX",2,"E7597",1,4,0,1.6094379124341
"313","X","H","HX",2,"E7601",2,3,0,1.38629436111989
"315","X","H","HX",2,"E7610",1,11,0,2.484906649788
