"","Tag","Location","VaccType","Dose"
"1","E6601","TE","",1
"2","E6602","TE","",1
"3","E6603","TE","",1
"4","E6604","TE","",1
"5","E6605","TE","",1
"6","E6606","TE","",1
"7","E6607","TE","",1
"8","E6608","TE","",1
"9","E6611","TE","",1
"10","E6613","TE","",1
"11","E6614","TE","",1
"12","E6615","TE","",1
"13","E6616","TE","",1
"14","E6617","TE","",1
"15","E6618","TE","",1
"16","E6619","TE","",1
"17","E6620","TE","",1
"18","E6621","TE","",1
"19","E6622","TE","",1
"20","E6623","TE","",1
"21","E6624","TE","",1
"22","E6625","TE","",1
"23","E6626","TE","",1
"24","E6627","TE","",1
"25","E6628","TE","",1
"26","E6629","TE","",1
"27","E6633","TE","",1
"28","E6634","TE","",1
"29","E6635","TE","",1
"30","E6636","TE","",1
"31","E6638","TE","",1
"32","E6642","TE","",1
"33","E6644","TE","",1
"34","E6645","TE","",1
"35","E6651","TE","",1
"36","E6654","TE","",1
"37","E6655","TE","",1
"38","E6656","TE","",1
"39","E6657","TE","",1
"40","E6660","TE","",1
"41","E6661","TE","",1
"42","E6662","TE","",1
"43","E6664","TE","",1
"44","E6665","TE","",1
"45","E6669","TE","",1
"46","E6671","TE","",1
"47","E6673","TE","",1
"48","E6674","TE","",1
"49","E6675","TE","",1
"50","E6844","TE","",1
"51","E6924","TE","",1
"52","E6953","TE","",1
"53","E6975","TE","",1
"54","E6986","TE","",1
"55","E7004","TE","",1
"56","E7026","TE","",1
"57","E7042","TE","",1
"58","E7058","TE","",1
"59","E7112","TE","",1
"60","E7126","TE","",1
"61","E7130","TE","",1
"62","E7165","TE","",1
"63","E7166","TE","",1
"64","E7167","TE","",1
"65","E7168","TE","",1
"66","E7169","TE","",1
"67","E7173","TE","",1
"68","E7174","TE","",1
"69","E7175","TE","",1
"70","E7176","TE","",1
"71","E7177","TE","",1
"72","E7178","TE","",1
"73","E7179","TE","",1
"74","E7180","TE","",1
"75","E7181","TE","",1
"76","E7182","TE","",1
"77","E7183","TE","",1
"78","E7185","TE","",1
"79","E7188","TE","",1
"80","E7189","TE","",1
"81","E7190","TE","",1
"82","E7191","TE","",1
"83","E7192","TE","",1
"84","E7206","TE","",1
"85","E7210","TE","",1
"86","E7211","TE","",1
"87","E7212","TE","",1
"88","E7213","TE","",1
"89","E7214","TE","",1
"90","E7215","TE","",1
"91","E7216","TE","",1
"92","E7218","TE","",1
"93","E7219","TE","",1
"94","E7225","TE","",1
"95","E7226","TE","",1
"96","E7227","TE","",1
"97","E7228","TE","",1
"98","E7229","TE","",1
"99","E7230","TE","",1
"100","E7232","TE","",1
"101","E7236","TE","",1
"102","E7237","TE","",1
"103","E7238","TE","",1
"104","E7239","TE","",1
"105","E7240","TE","",1
"106","E7241","TE","",1
"107","E7242","TE","",1
"108","E7243","TE","",1
"109","E7244","TE","",1
"110","E7247","TE","",1
"111","E7250","TE","",1
"112","E7251","TE","",1
"113","E7252","TE","",1
"114","E7253","TE","",1
"115","E7254","TE","",1
"116","E7255","TE","",1
"117","E7256","TE","",1
"118","E7257","TE","",1
"119","E7258","TE","",1
"120","E7259","TE","",1
"121","E7260","TE","",1
"122","E7264","TE","",1
"123","E7265","TE","",1
"124","E7266","TE","",1
"125","E7267","TE","",1
"126","E7268","TE","",1
"127","E7269","TE","",1
"128","E7270","TE","",1
"129","E7271","TE","",1
"130","E7275","TE","",1
"131","E7276","TE","",1
"132","E7282","TE","",1
"133","E7285","TE","",1
"134","E7286","TE","",1
"135","E7288","TE","",1
"136","E7289","TE","",1
"137","E7291","TE","",1
"138","E7292","TE","",1
"139","E7299","TE","",1
"140","E7495","HE","",1
"141","E7496","HE","",1
"142","E7497","HE","",1
"143","E7498","HE","",1
"144","E7499","HE","",1
"145","E7508","HE","",1
"146","E7518","HE","",1
"147","E7519","HE","",1
"148","E7520","HE","",1
"149","E7522","HE","",1
"150","E7552","HE","",1
"151","E7554","HE","",1
"152","E7563","HE","",1
"153","E7564","HE","",1
"154","E7565","HE","",1
"155","E7566","HE","",1
"156","E7567","HE","",1
"157","E7568","HE","",1
"158","E7570","HE","",1
"159","E7571","HE","",1
"160","E7573","HE","",1
"161","E7574","HE","",1
"162","E7575","HE","",1
"163","E7623","HE","",1
"164","E7624","HE","",1
"165","E7626","HE","",1
"166","E7627","HE","",1
"167","E7628","HE","",1
"168","E7629","HE","",1
"169","E7630","HE","",1
"170","E7659","HE","",1
"171","E7670","HE","",1
"172","E7671","HE","",1
"173","E7672","HE","",1
"174","E7675","HE","",1
"175","E7694","HE","",1
"176","E7695","HE","",1
"177","E7696","HE","",1
"178","E7697","HE","",1
"179","E7698","HE","",1
"180","E7699","HE","",1
"181","E7711","HE","",1
"182","E7713","HE","",1
"183","E7717","HE","",1
"184","E7719","HE","",1
"185","E7720","HE","",1
"186","E7722","HE","",1
"187","E7724","HE","",1
"188","E7725","HE","",1
"189","E7742","HE","",1
"190","E7743","HE","",1
"191","E7744","HE","",1
"192","E7746","HE","",1
"193","E7747","HE","",1
"194","E7748","HE","",1
"195","E7749","HE","",1
"196","E7750","HE","",1
"197","E7751","HE","",1
"198","E7752","HE","",1
"199","E7753","HE","",1
"200","E7754","HE","",1
"201","E7755","HE","",1
"202","E7756","HE","",1
"203","E7757","HE","",1
"204","E7758","HE","",1
"205","E7759","HE","",1
"206","E7760","HE","",1
"207","E7761","HE","",1
"208","E7762","HE","",1
"209","E7769","HE","",1
"210","E7770","HE","",1
"211","E7771","HE","",1
"212","E7772","HE","",1
"213","E7773","HE","",1
"214","E7774","HE","",1
"215","E7775","HE","",1
"216","E7776","HE","",1
"217","E7777","HE","",1
"218","E7778","HE","",1
"219","E7779","HE","",1
"220","E7780","HE","",1
"221","E7781","HE","",1
"222","E7782","HE","",1
"223","E7783","HE","",1
"224","E7784","HE","",1
"225","E7785","HE","",1
"226","E7786","HE","",1
"227","E7787","HE","",1
"228","E7789","HE","",1
"229","E7790","HE","",1
"230","E7791","HE","",1
"231","E7792","HE","",1
"232","E7793","HE","",1
"233","E7794","HE","",1
"234","E7795","HE","",1
"235","E7796","HE","",1
"236","E7797","HE","",1
"237","E7801","HE","",1
"238","E7802","HE","",1
"239","E7803","HE","",1
"240","E7804","HE","",1
"241","E7805","HE","",1
"242","E7806","HE","",1
"243","E7807","HE","",1
"244","E7808","HE","",1
"245","E7809","HE","",1
"246","E7810","HE","",1
"247","E7811","HE","",1
"248","E7812","HE","",1
"249","E7813","HE","",1
"250","E7814","HE","",1
"251","E7815","HE","",1
"252","E7816","HE","",1
"253","E7817","HE","",1
"254","E7818","HE","",1
"255","E7819","HE","",1
