tag,site,vac_type,num_ticks_pos_c,num_ticks_pos_igs,overall_num_pos,num_ticks_proc_c,num_ticks_proc_igs,overall_num_ticks_proc,perc_ticks_inf_c,perc_ticks_inf_igs,overall_perc_inf,notes
H4662,GC,sham,0,0,0,5,5,5,0,0,0,
H4667,GC,sham,3,2,3,5,5,5,60,40,60,
H7196,GC,sham,1,1,1,2,2,2,50,50,50,
H7231,GC,sham,3,1,4,5,5,5,60,20,80,
H7233,GC,sham,0,0,0,5,5,5,0,0,0,
H7255,GC,sham,0,0,0,5,5,5,0,0,0,
H7260,GC,sham,0,0,0,2,2,2,0,0,0,
H7317,GC,sham,1,1,1,5,5,5,20,20,20,
H7319,GC,sham,2,2,2,2,2,2,100,100,100,
H7338,GC,sham,1,2,2,2,2,2,50,100,100,
H7257_H7341,GC,sham,5,2,5,5,5,5,100,40,100,
H7355,GC,sham,1,2,4,4,4,4,25,50,100,
H7379,GC,sham,0,0,0,2,2,2,0,0,0,
H7403_H7390_H7309,GC,sham,4,1,4,5,5,5,80,20,80,
H7399,GC,sham,0,0,0,4,4,4,0,0,0,
H7404,GC,sham,3,2,3,5,5,5,60,40,60,
H7408,GC,sham,0,0,0,5,5,5,0,0,0,
H7427,GC,sham,0,0,0,2,2,2,0,0,0,
H7473,GC,sham,2,1,2,2,2,2,100,50,100,
H7492,GC,sham,2,2,2,5,5,5,40,40,40,
H5327,HC,sham,3,3,4,5,5,5,60,60,80,
H5394,HC,sham,5,3,5,5,5,5,100,60,100,
H6406,HC,sham,2,1,2,5,5,5,40,20,40,
H6510,HC,sham,1,1,1,2,2,2,50,50,50,
H6513,HC,sham,0,0,0,5,5,5,0,0,0,
H6521,HC,sham,0,0,0,5,5,5,0,0,0,
H6547,HC,sham,4,3,4,5,5,5,80,60,80,
H6552,HC,sham,0,0,0,5,5,5,0,0,0,
H6610,HC,sham,0,0,0,5,5,5,0,0,0,
H6611,HC,sham,0,0,0,5,5,5,0,0,0,
H6615,HC,sham,3,3,3,5,5,5,60,60,60,
H6617,HC,sham,3,2,3,5,5,5,60,40,60,
H6635,HC,sham,2,1,2,5,5,5,40,20,40,
H6636,HC,sham,0,0,0,2,2,2,0,0,0,
H6643,HC,sham,4,2,4,5,5,5,80,40,80,
H6654,HC,sham,2,1,2,5,5,5,40,20,40,
H6695,HC,sham,5,4,5,5,5,5,100,80,100,
H6704,HC,sham,5,5,5,5,5,5,100,100,100,
H6717,HC,sham,0,0,0,5,5,5,0,0,0,
H6629_H6803,HC,sham,0,0,0,5,5,5,0,0,0,
H5778,TC,sham,2,2,2,5,5,5,40,40,40,
H5838,TC,sham,3,3,3,5,5,5,60,60,60,
H5854,TC,sham,2,2,2,5,5,5,40,40,40,
H5868,TC,sham,4,3,4,4,4,4,100,75,100,
H5875,TC,sham,0,0,0,2,2,2,0,0,0,
H5869_H5924,TC,sham,0,0,0,5,5,5,0,0,0,
H5919,TC,sham,0,0,0,2,2,2,0,0,0,
H5947,TC,sham,2,2,2,2,2,2,100,100,100,
H5980,TC,sham,4,4,4,5,5,5,80,80,80,
H5982,TC,sham,3,3,3,5,5,5,60,60,60,
H6031,TC,sham,4,3,4,5,5,5,80,60,80,
H6040,TC,sham,1,1,1,5,5,5,20,20,20,
H6063,TC,sham,0,0,0,5,5,5,0,0,0,
H6069,TC,sham,0,0,0,5,5,5,0,0,0,
H6078,TC,sham,5,5,5,5,5,5,100,100,100,
H6097,TC,sham,0,0,0,5,5,5,0,0,0,
H5874_H6154_H6102,TC,sham,1,0,1,5,5,5,20,0,20,
H6024_H6119,TC,sham,0,0,0,5,5,5,0,0,0,
H6126,TC,sham,5,4,5,5,5,5,100,80,100,
H6081_H6095_H6153,TC,sham,5,5,5,5,5,5,100,100,100,
E6019,GX,TRUE,0,0,0,2,2,2,0,0,0,
E6144,GX,TRUE,0,0,0,5,5,5,0,0,0,
E6214,GX,TRUE,0,0,0,1,1,1,0,0,0,
E6261,GX,TRUE,1,0,1,5,5,5,20,0,20,
E6299,GX,TRUE,1,1,1,2,2,2,50,50,50,
E6412,GX,TRUE,2,3,3,5,5,5,40,60,60,
E6426,GX,TRUE,0,0,0,2,2,2,0,0,0,
E6428,GX,TRUE,0,0,0,4,4,4,0,0,0,
E6456,GX,TRUE,0,0,0,5,5,5,0,0,0,
E6460,GX,TRUE,0,0,0,5,5,5,0,0,0,
E6462,GX,TRUE,0,0,0,5,5,5,0,0,0,
E6467,GX,TRUE,0,0,0,1,1,1,0,0,0,
E6554_E6471,GX,TRUE,1,1,1,5,5,5,20,20,20,
E6511,GX,TRUE,1,1,1,4,4,4,25,25,25,
E6527,GX,TRUE,0,0,0,2,2,2,0,0,0,
E6528,GX,TRUE,1,0,1,5,5,5,20,0,20,
E6556,GX,TRUE,0,0,0,4,4,4,0,0,0,
E6234_E6579,GX,TRUE,0,0,0,5,5,5,0,0,0,
E6598,GX,TRUE,1,0,1,4,4,4,25,0,25,
E7329,HX,TRUE,5,4,5,5,5,5,100,80,100,
E7370,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7419,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7420,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7447,HX,TRUE,3,2,3,5,5,5,60,40,60,
E7464,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7485,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7501,HX,TRUE,2,1,2,5,5,5,40,20,40,
E7502,HX,TRUE,2,2,2,2,2,2,100,100,100,
E7509,HX,TRUE,2,2,3,5,5,5,40,40,60,
E7538,HX,TRUE,0,0,0,4,4,4,0,0,0,
E7597,HX,TRUE,4,4,4,5,5,5,80,80,80,
E7601,HX,TRUE,1,1,1,5,5,5,20,20,20,
E7610,HX,TRUE,0,0,0,5,5,5,0,0,0,
E7540_E7617,HX,TRUE,4,4,4,5,5,5,80,80,80,
E7530_E7623,HX,TRUE,1,2,3,5,5,5,20,40,60,
